name,description,agency,link,error
Enterprise Financing Scheme,"Access financing support at each stage of your business growth. Includes various specific schemes for green financing, SME fixed assets, mergers & acquisitions, and more.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Energy Efficiency Grant,"Support for adopting pre-approved energy-efficient equipment for companies in sectors like Manufacturing, Food Services, or Retail. Eligibility criteria include being a business entity registered in Singapore.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/energy-efficiency-grant,False
Enterprise Leadership for Transformation Programme (ELT),"Transform and grow your business through innovating and strategising with industry experts.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/grow-your-business/boost-capabilities/growth-and-transformation/enterprise-leadership-for-transformation,False
Scale-Up,"Growth partnership programme for high-growth local companies to scale and become future global champions.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/grow-your-business/boost-capabilities/growth-and-transformation/scale-up,False
Double Tax Deduction for Internationalisation,"Enjoy tax deductions as you expand overseas and seek investment development opportunities.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/double-tax-deduction-for-internationalisation,False
Local Enterprise and Association Development (LEAD) Programme,"Drive capability development and internationalisation projects for SMEs.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/local-enterprise-and-association-development-programme,False
Sustainability Reporting Grant,"Prepare your first sustainability report consistent with ISSB standards.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/sustainability-reporting-grant,False
Global Innovation Alliance,"Enter overseas markets with confidence and connect with innovation communities.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance,False
Startup SG Equity,"Co-invest into Singapore-based technology startups with intellectual property and global market potential.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/startup-sg-equity,False
Venture Capital Fund Incentive (VCFI),"Get tax exemption on qualifying income streams for a period of up to 15 years.",,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/financial-support/venture-capital-fund-incentive,False
Fund Management Incentive (FMI),"Receive a concessionary tax rate of 5% for a period of up to 5 years as a fund management company.",,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/financial-support/fund-management-incentive,False
