incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
MAS FSTI Innovation Acceleration - Early Innovation,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation,Grant,"['MAS-regulated financial institutions', 'Technology/solution providers working with MAS-regulated financial institutions', 'Technology/solution providers developing novel technology and solutions that can improve the efficiency or productivity of financial services sector in Singapore']","You are strongly encouraged not to commence your project prior to the approval of the grant award. If you choose to do so before the approval of the grant award, you will bear the project costs that have already been incurred, should the proposal be turned down.",,"Experimentation, development and dissemination of nascent innovative technologies in the financial services sector","Basic manpower costs, Professional services costs, Equipment/Hardware, Data or software costs","Up to 50% of qualifying costs and up to a cap of S$400,000, Funding duration up to 18 months",,['Financial Service'],['Innovation'],False
ESG FinTech Grant,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant,Grant,"['Open to eligible applicants', 'Applicants that are non-FIs must include one participating FI in the project who are Singapore-based FIs and market or professional organisations or associations, industry consortiums and non-FI solution providers/companies']",Applicants should submit their applications 3 months prior to the commencement of the project to facilitate project discussions and processing of application.,,Innovative use of technology to address financial institutions' business needs in the areas of ESG data and ESG infrastructure,"Basic manpower costs, professional services, hardware/software infrastructure and licenses, equipment, IP rights, and external auditor costs","Up to 50% of qualifying expenses capped at $500,000. Funding Duration of up to 18 months",,['Financial Service'],"['Sustainability', 'Innovation']",False
Regulatory Technology Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regtech-grant,Grant,"['All Singapore-based FIs regulated by MAS where the headcount in Singapore is less than 200.', 'The applicant must not have been awarded a RegTech grant during the FSTI 3.0 scheme period.']",Applicants should formally submit their applications 3 months before project commencement to facilitate project discussions and processing of application.,,Enhance the efficiency of risk management and compliance functions through technological solutions,"Manpower expenses based in Singapore; Professional services; Hardware, software and data; External Auditor’s certification","Up to 30% of qualifying expenses (except for manpower expenses for non-SCs (including PRs), which will be funded at up to 15%), capped at a maximum grant quantum of $100,000. Up to 18 months from project commencement date",,['Financial Service'],"['Digitalisation', 'Innovation']",False
Productivity Innovation Project (PIP) - Technologies and Innovations,Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications are evaluated based on the potential for productivity improvement on site. The trade productivity improvement should be at least 30%.,,Productivity enhancement,Costs for technology adoption and innovations that improve productivity at construction sites.,"Up to 70% of the qualifying cost, capped at $1 million per application for 30-40% productivity improvement at trade level; Up to 70% of the qualifying cost, capped at $10 million per application for >40% productivity improvement at trade level.","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records.",['Built Environment'],"['Innovation', 'Digitalisation']",False
Productivity Innovation Project (PIP) - Design for Manufacturing and Assembly (DfMA) Manufacturing Facilities,Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications are evaluated based on the potential for productivity improvement on site. The trade productivity improvement should be at least 30%.,,Capability development,Costs for Integrated Construction and Prefabrication Hubs (ICPH) and other manufacturing facilities.,"Up to 70% of the qualifying cost, capped at $10 million per application for ICPH; Up to 70% of the qualifying cost, capped at $3 million per application for other manufacturing facilities.","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records.",['Built Environment'],['Innovation'],False
Productivity Innovation Project (PIP) - Support for Digital Solutions (IDD),Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications are evaluated based on the potential for productivity improvement on site. The trade productivity improvement should be at least 30%.,,Digitalisation,Costs for digital solutions.,"Up to 70% of the qualifying cost, capped at $300,000 per application.","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records.",['Built Environment'],['Digitalisation'],False
Productivity Innovation Project (PIP) - Integrated Digital Delivery (IDD),Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications are evaluated based on the potential for productivity improvement on site. The trade productivity improvement should be at least 30%.,,Digitalisation,Costs for IDD 3 stage and IDD 4 stage digitalisation.,"Up to 70% of the qualifying cost, capped at $600,000 per application for IDD 3 stage digitalisation; Up to 70% of the qualifying cost, capped at $700,000 per application for IDD 4 stage digitalisation.","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records.",['Built Environment'],['Digitalisation'],False
Business Improvement Fund (BIF),Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/business-improvement-fund,Grant,"['The fund is open to Singapore-registered businesses only, particularly tourism businesses taking on core capability development initiatives and technology companies creating innovative products and services for tourism businesses.', 'Eligible projects should fall under one of the following categories: Core Capabilities, Innovation and Productivity.', 'Projects must not have commenced at the point of grant application.']",Hotels and hostels should possess a valid license issued by the Hotels Licensing Board (HLB).,,Core Capabilities,"Consultancy fees, including costs involved in sustainability certification; Hardware or equipment, and software; Materials and consumables; Training costs (if training is an intrinsic component of the project); Travel expenses associated with the project",Funding support differs for Small and Medium Enterprises (SMEs) and non-SMEs.,Grantee is required to submit an Agreed-Upon (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grant.,['Others'],"['Sustainability', 'Innovation']",False
Business Improvement Fund (BIF),Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/business-improvement-fund,Grant,"['The fund is open to Singapore-registered businesses only, particularly tourism businesses taking on core capability development initiatives and technology companies creating innovative products and services for tourism businesses.', 'Eligible projects should fall under one of the following categories: Core Capabilities, Innovation and Productivity.', 'Projects must not have commenced at the point of grant application.']",Hotels and hostels should possess a valid license issued by the Hotels Licensing Board (HLB).,,Innovation and Productivity,"Consultancy fees, including costs involved in sustainability certification; Hardware or equipment, and software; Materials and consumables; Training costs (if training is an intrinsic component of the project); Travel expenses associated with the project",Funding support differs for Small and Medium Enterprises (SMEs) and non-SMEs.,Grantee is required to submit an Agreed-Upon (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grant.,['Others'],"['Innovation', 'Productivity']",False
Experience Step-Up Fund,Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,Grant,"['Open to all legal entities, e.g.: Businesses, Associations, Government bodies', 'Projects should fall under one of the categories: Development of new products and experiences (including virtual experiences), Content enhancements, Adoption of technology to enhance visitor experiences, Amenities enhancements, Infrastructure enhancements', 'Projects must not have commenced at the point of grant application.']",Eligibility of the project is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities in the form of a Joint Venture or a consortium.,,Development and enhancement of Singapore’s tourism experiences,"Professional services (including audit and survey), Hardware/equipment and software, Materials and consumables, Production, Marketing, Travel expenses associated with the project",Grantee will receive funding support for qualifying third-party project-related costs.,Grantee is required to submit an Agreed-Upon Procedures (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grants.,['All'],"['Innovation', 'Digitalisation']",False
Startup SG Tech - Proof-of-Concept (POC),Enterprise Singapore,,https://www.startupsg.gov.sg/programmes/4897/startup-sg-tech,Grant,,,,Proof-of-Concept (POC),,,,['All'],['Innovation'],False
Startup SG Tech - Proof-of-Value (POV),Enterprise Singapore,,https://www.startupsg.gov.sg/programmes/4897/startup-sg-tech,Grant,,,,Proof-of-Value (POV),,,,['All'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Performance Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Engagement and Experience Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Material Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Sustainability,,"Up to S$1,000,000 per project",,['Others'],['Sustainability'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Gamification and Active Virtual Sport Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
Tech-and-GO! Start Digital,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/start-digital/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies are eligible to apply for the scheme if they have completed Organisational Health Framework for Social Service assessment.']",Agencies must submit an assessment report that is within one year of its issuance date.,,Digital transformation,Pre-approved off-the-shelf packages or tailored solutions designed for the unique needs of social services.,"Social service agencies can be supported with co-funding at up to 80% for the first year and 50% for the subsequent two years, capped at $150k per agency, with solutions capped at $30,000 or specific Maximum Fundable Amount (MFA) for Green Lane.",OHFSS assessment report,['All'],['Digitalisation'],False
Green Lane solutions,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/start-digital/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies are eligible to apply for the scheme if they have completed Organisational Health Framework for Social Service assessment.']",Agencies must submit an assessment report that is within one year of its issuance date.,,Sector specific IT solutions,"Accounting system, Booking system, Case allocation system, Case/client management solution, Church management system, Community map app, Competency management system, Data analytics solutions, Donor management solutions, Event management system, Human Resource Management System (HRMS), IRAS Donation API Integration Services, Learning management solutions, Motorised upper & lower limbs pedal exerciser, Online Board meeting solution, Online survey solutions, Portable interactive training device, Telepresence robot, Volunteer management solutions, Walking rehabilitation equipment.","Maximum fundable amount per unit varies by solution type, e.g., Accounting system: $8,000, Booking system: $30,000, etc.",OHFSS assessment report,['All'],['Digitalisation'],False
Tech-and-GO! Pre-scoped Consultancy,National Council of Social Service,31 October 2024,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,Digitalisation,Consultancy services for digitalisation projects.,"80% of costs per project, SSA contribution approx. $7,000 to $23,000.",Consultancy deliverables and agency's concurrence of completion.,['All'],['Digitalisation'],False
"Tech-and-GO! IT Audit, Cybersecurity and Data Protection Consultancy",National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,IT and Data Security Enhancement,"IT audit, cybersecurity, and data protection consultancy services.","80% of costs per project, cost range $50,000 to $100,000.","Proof of attainment of mark, consultant's report, satisfactory assessment of the Final Evaluation Report, all invoices.",['All'],['Digitalisation'],False
Tech-and-GO! Robotics Process Automation (RPA) Consultancy,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,Productivity Enhancement through Automation,Consultancy services for RPA projects.,"80% of costs per project, capped at $6,000 per project or $30,000 per SSA for multiple RPA projects.","Signed service agreement with the Consultant, consultant's report, satisfactory assessment of the Final Evaluation Report, all invoices.",['All'],['Digitalisation'],False
Tech-and-GO! IT Professional Services,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,IT Infrastructure and Services Enhancement,"IT professional services including infrastructure, data migration, and software configuration.","80% of costs per project, cost range $50,000 to $150,000.","Consultant's report, satisfactory assessment of the Final Evaluation Report, all invoices.",['All'],['Digitalisation'],False
Tech-and-GO! Non Pre-scoped Consultancy,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,Customised Consultancy Services,Consultancy services for projects beyond pre-defined scopes.,"80% of costs per project, cost range $50,000 to $150,000.","Consultant's report, satisfactory assessment of the Final Evaluation Report, all invoices.",['All'],['Digitalisation'],False
MCF-Manpower Development,Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,[],Application form must reach the MCF Secretariat at least 30 days prior to commencement of the training.,,"Development of manpower, training initiatives and capabilities","External Training - Short Courses and Certifiable Courses, In-house Training",,,['Logistics'],['Human Capital'],False
MCF-Business Development,Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,[],"Application forms, together with complete information on the project, must reach the MCF Secretariat at least 30 days prior to commencement of the project.",,Setting up of new maritime operations or expansion into new lines of maritime businesses,,,,['Logistics'],['Internationalisation'],False
MCF-Productivity,Maritime and Port Authority of Singapore,The MCF Productivity scheme is under review and currently not accepting new applications.,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,[],,,Initiatives that lead to productivity gains,,,,['Logistics'],['Innovation'],False
MINT-Research & Product Development (MINT-RPD),Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund,Grant,"['The applicant should be a company incorporated under the Companies Act (Cap 50) and operating in Singapore, with a minimum paid-up capital of 50% of the total project costs; or a classification society appointed as a Recognised Organisation under the Merchant Shipping (Authorised Organisations) Regulations.', 'The research and development of new or better maritime products and solutions must be carried out in Singapore.']","Projects applying for the MINT Fund should be technology oriented, relevant to the maritime industry, develop products and solutions that have commercialisation potential, and satisfy the MINT-RPD criteria.",,"Applied R&D, product development and test-bedding of technology relevant to the maritime industry","Funding support for manpower and equipment either engaged or acquired for the purposes of the project, and other operating expenditure incurred for the purposes of the project.",,,['Logistics'],['Innovation'],False
MINT-Startup Grant (MINT-STARTUP),Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund,Grant,"['Completed PIER71 Accelerate Programme / partner acceleration programmes', 'Company in operation for less than 10 years', 'Company’s group annual sales turnover not more than $100 mil OR Group employment size should not be more than 200 workers', 'Incorporated in Singapore', 'At least 30% of grant amount', 'Tech development activities funded by the grant should be carried out in Singapore']",,,Accelerate innovation and venture into adjacent/new growth areas through working with tech start-ups,,"Grant of up to S$100,000 to carry out POC, POV or pilot projects.",,['Logistics'],['Innovation'],False
Agri-food Cluster Transformation (ACT) Fund - Capability Upgrading,Singapore Food Agency,until 31 December 2025,https://www.sfa.gov.sg/recognition-programmes-grants/grants/agri-food-cluster-transformation-act-fund,Grant,"['Your farm must be a local farm with a valid licence from SFA.', 'You should have secured a farm site for the implementation of the proposed farming system to be funded.', 'Your farm should be free from unauthorised or illegal activities for at least 1 year before the date of application.', 'New farms that have not obtained their licences must have an in-principle approval from SFA to operate a farm at the premises stated in their farm licence application.']",Applications must be submitted through the Business Grants Portal using CorpPass for Capability Upgrading – Farming Equipment.,Capability Upgrading,Farming equipment and small-scale trials,"Funding can be used for farming equipment and systems on SFA’s pre-qualified list to conduct small-scale pilot trials to raise productivity, resource efficiency, and reduce pollution and waste.","Funding is a one-off sum of $15,000 for qualifying consultancy fees ($10,000) and certification-related fees ($5,000).",Capability Upgrading Project Outcome Template,"['Agritech', 'Food Manufacturing']","['Sustainability', 'Innovation']",False
Agri-food Cluster Transformation (ACT) Fund - Technology Upscaling,Singapore Food Agency,until 31 December 2025,https://www.sfa.gov.sg/recognition-programmes-grants/grants/agri-food-cluster-transformation-act-fund,Grant,"['Your farm must be a local farm with a valid licence from SFA.', 'You should have secured a farm site for the implementation of the proposed farming system to be funded.', 'Your farm should be free from unauthorised or illegal activities for at least 1 year before the date of application.', 'New farms that have not obtained their licences must have an in-principle approval from SFA to operate a farm at the premises stated in their farm licence application.']",Applications must be submitted through the Business Grants Portal using CorpPass for Technology Upscaling.,Technology Upscaling,Large commercial-scale high-tech farm setup,"Funds can be used to purchase large commercial-scale, automated and advanced farming technology solutions integrated with agri-input production, post-harvest and waste treatment technologies.",Up to $6 million for farming technology or systems and for farm-related infrastructure costs.,Technology Upscaling component Proposal Template,"['Agritech', 'Food Manufacturing']","['Sustainability', 'Innovation']",False
5G Open Testbed,Infocomm Media Development Authority (IMDA),,https://www.imda.gov.sg/how-we-can-help/5g-open-testbed,Programme,['Companies keen to innovate at these 5G testbeds can also tap on IMDA’s 5G innovation programme.'],"Applicants are required to provide details such as company profile, the trial objective(s), the solution involved in the trial, and period of solution trial.",,5G innovation and experimentation,,A S$30M fund aimed to accelerate the adoption and commercialisation of 5G solutions.,,['All'],"['Innovation', 'Digitalisation']",False
IRAS Digital Integration Incentive (DII) - Tranche 1,Inland Revenue Authority of Singapore,"until 30 June 2024 or when 12 grantees are successfully approved for 1st Tranche, whichever is earlier",https://www.iras.gov.sg/digital-collaboration/for-software-developers/accounting-tax-software/iras-digital-integration-incentive-(dii),Grant,"['Fulfilled IRAS ASR+ Tier 3 criteria, including the successful full integration of IRAS ASR+ digital products.']",Grantees must maintain the solution and remain listed on the IRAS ASR+ for at least 2 years from the date of acceptance of Tranche 1.,,"Integration of IRAS APIs for Corporate Income Tax Returns (Form C-S) and GST Returns (GST F5, F8) as well as e-invoicing capabilities",,"$25,000",,['All'],['Digitalisation'],False
IRAS Digital Integration Incentive (DII) - Tranche 2,Inland Revenue Authority of Singapore,until 31 December 2024,https://www.iras.gov.sg/digital-collaboration/for-software-developers/accounting-tax-software/iras-digital-integration-incentive-(dii),Grant,"['1st Tranche is a pre-requisite.', 'Eligible grantees have to show proof of scaled-up business usage: Attained 100 successful submissions (Corporate Income Tax and/or GST); and Obtained written feedback from 5 satisfied customers.']",Eligible grantees are allowed to use the completed Customer Satisfaction Surveys which were previously submitted to the IMDA as proof of fulfilment of the '5 satisfied customers' criteria for the purpose of the Productivity Solutions Grant (PSG) application.,,"Integration of IRAS APIs for Corporate Income Tax Returns (Form C-S) and GST Returns (GST F5, F8) as well as e-invoicing capabilities",,"$25,000",,['All'],['Digitalisation'],False
Enterprise Development Grant - Core Capabilities,Enterprise Singapore,From 1 April 2023 to 31 March 2026,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,Grant,"['Business entity registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Company is financially ready to start and complete the project. Commonly used financial indicators, such as the current ratio, will be used for assessment.']","Applications will be assessed by EnterpriseSG based on project scope, project outcomes and competency of the service provider.",Core Capabilities,Business Strategy Development,"Third-party consultancy fees, software and equipment, and internal manpower cost",Up to 50% of eligible costs for local SMEs,"Project proposal, documentation of project deliverables, cost items documentation for audit",['All'],"['Innovation', 'Sustainability']",False
Enterprise Development Grant - Innovation & Productivity,Enterprise Singapore,From 1 April 2023 to 31 March 2026,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,Grant,"['Business entity registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Company is financially ready to start and complete the project. Commonly used financial indicators, such as the current ratio, will be used for assessment.']","Applications will be assessed by EnterpriseSG based on project scope, project outcomes and competency of the service provider.",Innovation & Productivity,Automation,"Adoption/development of sophisticated hardware and/or software solutions, development of solutions that involve purchase of machinery and integration of systems",Up to 50% of eligible costs for local SMEs,"Project proposal, documentation of project deliverables, cost items documentation for audit",['All'],"['Digitalisation', 'Innovation']",False
Enterprise Development Grant - Market Access,Enterprise Singapore,From 1 April 2023 to 31 March 2026,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,Grant,"['Business entity registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Company is financially ready to start and complete the project. Commonly used financial indicators, such as the current ratio, will be used for assessment.']","Applications will be assessed by EnterpriseSG based on project scope, project outcomes and competency of the service provider.",Market Access,Pilot Project and Test Bedding,Demonstration of product/solution viability and establishment of a track record to scale in new markets,Up to 50% of eligible costs for local SMEs,"Project proposal, documentation of project deliverables, cost items documentation for audit",['All'],['Internationalisation'],False
SMEs Go Digital,Infocomm Media Development Authority (IMDA),,https://www.imda.gov.sg/how-we-can-help/smes-go-digital,Programme,[],,,Digitalisation,,,,['All'],['Digitalisation'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore;', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings;', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan;', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects;', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance.']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Strategic Collaboration / Business Growth,"Drafting of collaborative contracts, training and hiring of professionals with collaborative contracting experience, consultancy for business strategy development and process re-engineering/redesigning.",The grant supports up to 70% of qualifying costs on a reimbursement basis.,,['Built Environment'],"['Human Capital', 'Innovation']",False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore;', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings;', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan;', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects;', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance.']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Human Capital Development,"Training/course fees, consultancies.",The grant supports up to 70% of qualifying costs on a reimbursement basis.,,['Built Environment'],['Human Capital'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore;', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings;', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan;', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects;', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance.']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Productivity,"Process redesign initiatives, robotics and automation solutions.",The grant supports up to 70% of qualifying costs on a reimbursement basis.,,['Built Environment'],['Innovation'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore;', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings;', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan;', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects;', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance.']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Digitalisation,"Implementation of a Common Data Environment, federation of BIM models, integration of key functions such as procurement and contract management, setup of core digital teams.",The grant supports up to 70% of qualifying costs on a reimbursement basis.,,['Built Environment'],['Digitalisation'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore;', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings;', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan;', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects;', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance.']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Sustainability,"Initiatives to achieve Green Mark 2021 Platinum Super Low Energy, process redesign and/or deployment of advanced technologies in Facilities Management.",The grant supports up to 70% of qualifying costs on a reimbursement basis.,,['Built Environment'],['Sustainability'],False
