incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
Money-Changing Licence,Monetary Authority of Singapore,,https://www.mas.gov.sg/regulation/payments/licensing-for-payment-service-providers,Programme,"[""A sole proprietorship: You must be a Singapore citizen. You must have a minimum of 1 year's relevant working or business experience on a full-time basis."", ""A partnership or limited liability partnership (LLP): The majority of your partners should be Singapore citizens. If there are only 2 partners, only one of them needs to be a Singapore citizen. Each partner must have a minimum of 1 year's relevant working or business experience on a full-time basis."", ""Singapore-owned company: More than 50% of the equity shareholdings should be beneficially owned and effectively controlled by Singapore citizens. A majority of the board of directors of the company should be Singapore citizens. If there are only 2 directors, only one of them needs to be a Singapore citizen. Each executive director must have a minimum of 1 year's relevant working or business experience on a full-time basis."", 'Singapore incorporated wholly-owned subsidiary of a foreign bank, or a foreign company primarily engaged in money-changing: The parent company must be of significant size, possess a good track record and reputation, and be adequately regulated and supervised by its home supervisory authority for anti-money laundering/combating the financing of terrorism (AML/CFT). If the entity is a foreign bank, it must rank among the top banks in the country where it is incorporated.']",,,Licensing for Payment Service Providers,,,,['Financial Service'],['Innovation'],False
Notice on Management of Outsourced Relevant Services for Banks,Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/notices/notice-658,Programme,,,,Management of Outsourced Relevant Services,,,,['Financial Service'],['Operational Risk Management'],False
Notice on Management of Outsourced Relevant Services for Merchant Banks,Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/notices/notice-1121,Programme,,,,Management of Outsourced Relevant Services,,,,['Financial Service'],['Operational Risk Management'],False
Guidelines on Outsourcing (Banks),Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-outsourcing-banks,Programme,,,,Risk Management of Outsourcing Arrangements,,,,['Financial Service'],['Operational Risk Management'],False
Guidelines on Outsourcing (Financial Institutions other than Banks),Monetary Authority of Singapore,Takes effect on 11 December 2024,https://www.mas.gov.sg/regulation/guidelines/guidelines-on-outsourcing-financial-institutions-other-than-banks,Programme,,,,Risk Management of Outsourcing Arrangements,,,,['Financial Service'],['Operational Risk Management'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,[],,,"Funding on proof-of-concepts, hiring, business development",,,,"['Financial Service', 'ICT & Media', 'All']",['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],,,Live experiments of innovation,,,,"['Financial Service', 'ICT & Media', 'All']",['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Enable live experiments of innovation,,,,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,"Funding on proof-of-concepts, hiring, business development",,,,['Financial Service'],['Innovation'],False
Artificial Intelligence and Data Analytics (AIDA) Grant,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/artificial-intelligence-and-data-analytics-aida-grant,Grant,"['The grant is only open to Singapore-based Financial Institutions (FI), FinTechs or Industry Consortiums.', 'Project should demonstrate the adoption of AIDA techniques to achieve the following:', 'Project should help to generate richer insights that current processes do not provide; and/or', 'Project should result in better quality decisions that current processes do not facilitate.', 'For FinTechs: Project should be for integrating AIDA into/developing AIDA products and services', 'For projects with the potential for revenue generation: AIDA techniques should be relatively novel/advanced and be prudent use case focused on responsible deployment.']",Completed application forms should be submitted 3 months before the commencement of projects to facilitate processing of applications.,,AIDA adoption,"Manpower costs, Hardware/Software, Professional Services","Up to 30% co-funding of qualifying expenses, capped at SGD $500,000","Project status reports, Auditor’s certification",['Financial Service'],"['Digitalisation', 'Innovation']",False
MAS FSTI Innovation Acceleration - Early Innovation,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation,Grant,"['MAS-regulated financial institutions', 'Technology/solution providers working with MAS-regulated financial institutions', 'Technology/solution providers developing novel technology and solutions that can improve the efficiency or productivity of financial services sector in Singapore']","You are strongly encouraged not to commence your project prior to the approval of the grant award. If you choose to do so before the approval of the grant award, you will bear the project costs that have already been incurred, should the proposal be turned down.",,"Experimentation, development and dissemination of nascent innovative technologies in the financial services sector","Basic manpower costs, Professional services costs, Equipment/Hardware, Data or software costs","Up to 50% of qualifying costs and up to a cap of S$400,000, Funding Duration up to 18 months",,['Financial Service'],['Innovation'],False
ESG FinTech Grant,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant,Grant,"['Open to eligible applicants', 'Applicants that are non-FIs must include one participating FI in the project who are Singapore-based FIs and market or professional organisations or associations, industry consortiums and non-FI solution providers/companies']",Applicants should submit their applications 3 months prior to the commencement of the project to facilitate project discussions and processing of application.,,Innovative use of technology to address financial institutions' business needs in the areas of ESG data and ESG infrastructure,"Basic manpower costs, professional services, hardware/software infrastructure and licenses, equipment, IP rights, and external auditor costs","Up to 50% of qualifying expenses capped at $500,000. Funding Duration of up to 18 months",,['Financial Service'],"['Sustainability', 'Innovation']",False
Regulatory Technology Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regtech-grant,Grant,"['All Singapore-based FIs regulated by MAS where the headcount in Singapore is less than 200.', 'The applicant must not have been awarded a RegTech grant during the FSTI 3.0 scheme period.']",Applicants should formally submit their applications 3 months before project commencement to facilitate project discussions and processing of application.,,Enhance the efficiency of risk management and compliance functions through technological solutions,"Manpower expenses based in Singapore; Professional services; Hardware, software and data; External Auditor’s certification","Up to 30% of qualifying expenses (except for manpower expenses for non-SCs (including PRs), which will be funded at up to 15%), capped at a maximum grant quantum of $100,000. Up to 18 months from project commencement date",,['Financial Service'],"['Digitalisation', 'Innovation']",False
Productivity Innovation Project (PIP),Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications for the PIP scheme have closed. The proposed equipment/solutions must not be within current contractual scope or stipulated within the project tender specifications. The proposed equipment/solutions must not have been purchased prior to BCA notice of PIP grant supportability.,,Technology adoption and innovations that improve productivity at construction sites,Costs for technology adoption and innovations,"Up to 70% of the qualifying cost, capped at $1 million to $10 million per application depending on productivity improvement level","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records",['Built Environment'],"['Digitalisation', 'Innovation']",False
Design for Manufacturing and Assembly (DfMA) Manufacturing Facilities,Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications for the PIP scheme have closed. The proposed equipment/solutions must not be within current contractual scope or stipulated within the project tender specifications. The proposed equipment/solutions must not have been purchased prior to BCA notice of PIP grant supportability.,,Integrated Construction and Prefabrication Hubs (ICPH),Costs for manufacturing facilities,"Up to 70% of the qualifying cost, capped at $10 million per application","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records",['Built Environment'],['Innovation'],False
Support for Digital Solutions (IDD),Building and Construction Authority (BCA),until 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,Grant,['Construction-related companies that are registered and located in Singapore are eligible to apply for support.'],Applications for the PIP scheme have closed. The proposed equipment/solutions must not be within current contractual scope or stipulated within the project tender specifications. The proposed equipment/solutions must not have been purchased prior to BCA notice of PIP grant supportability.,,Integrated Digital Delivery (IDD),Costs for digital solutions,"Up to 70% of the qualifying cost, capped at $300,000 to $700,000 per application depending on digitalisation stage","Progress and final reports, Auditor statement of expenditure by an independent accountant, Video of implemented system, Claim statement, Supporting claims documents: Purchase order, Delivery order, Payment invoice, Payment voucher, Bank transaction records",['Built Environment'],['Digitalisation'],False
Business Improvement Fund (BIF),Singapore Tourism Board,open until further notice,https://www.stb.gov.sg/licensing-support/grants/business-improvement-fund,Grant,"['The fund is open to Singapore-registered businesses only, particularly tourism businesses taking on core capability development initiatives and technology companies creating innovative products and services for tourism businesses.', 'Eligible projects should fall under one of the following categories: Core Capabilities Improvements in areas such as business strategy development and adoption of internationally recognised sustainability certification and/or standards; Innovation and Productivity Improvements in areas such as automation, product development, and expansion in adoption and development of new, innovative, and sustainable products, services, or solutions.', 'Projects must not have commenced at the point of grant application.']",Hotels and hostels should possess a valid license issued by the Hotels Licensing Board (HLB).,,Core Capabilities Improvements,"Consultancy fees, including costs involved in sustainability certification; Hardware or equipment, and software; Materials and consumables; Training costs (if training is an intrinsic component of the project); Travel expenses associated with the project.",Funding support differs for Small and Medium Enterprises (SMEs) and non-SMEs.,Grantee is required to submit an Agreed-Upon (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grant.,['Others'],"['Sustainability', 'Innovation']",False
Business Improvement Fund (BIF),Singapore Tourism Board,open until further notice,https://www.stb.gov.sg/licensing-support/grants/business-improvement-fund,Grant,"['The fund is open to Singapore-registered businesses only, particularly tourism businesses taking on core capability development initiatives and technology companies creating innovative products and services for tourism businesses.', 'Eligible projects should fall under one of the following categories: Core Capabilities Improvements in areas such as business strategy development and adoption of internationally recognised sustainability certification and/or standards; Innovation and Productivity Improvements in areas such as automation, product development, and expansion in adoption and development of new, innovative, and sustainable products, services, or solutions.', 'Projects must not have commenced at the point of grant application.']",Hotels and hostels should possess a valid license issued by the Hotels Licensing Board (HLB).,,Innovation and Productivity Improvements,"Consultancy fees, including costs involved in sustainability certification; Hardware or equipment, and software; Materials and consumables; Training costs (if training is an intrinsic component of the project); Travel expenses associated with the project.",Funding support differs for Small and Medium Enterprises (SMEs) and non-SMEs.,Grantee is required to submit an Agreed-Upon (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grant.,['Others'],['Innovation'],False
Experience Step-Up Fund,Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,Grant,"['Open to all legal entities, e.g.: Businesses, Associations, Government bodies', 'Projects should fall under one of the categories: Development of new products and experiences (including virtual experiences), Content enhancements, Adoption of technology to enhance visitor experiences, Amenities enhancements, Infrastructure enhancements', 'Projects must not have commenced at the point of grant application. Projects are considered to have commenced if any of the following took place before application date: Applicant has started work on the project, e.g., tender has been called, Applicant has made payment(s) to any supplier, vendor, or third party, Applicant has signed a contractual agreement with any supplier, vendor, or third party']",Eligibility of the project is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities in the form of a Joint Venture or a consortium.,,Development of new products and experiences,"Professional services (including audit and survey), Hardware/equipment and software, Materials and consumables, Production, Marketing, Travel expenses associated with the project",Grantee will receive funding support for qualifying third-party project-related costs,"Grantee is required to submit an Agreed-Upon Procedures (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grants, unless otherwise stated.",['All'],"['Innovation', 'Digitalisation']",False
Experience Step-Up Fund,Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,Grant,"['Open to all legal entities, e.g.: Businesses, Associations, Government bodies', 'Projects should fall under one of the categories: Development of new products and experiences (including virtual experiences), Content enhancements, Adoption of technology to enhance visitor experiences, Amenities enhancements, Infrastructure enhancements', 'Projects must not have commenced at the point of grant application. Projects are considered to have commenced if any of the following took place before application date: Applicant has started work on the project, e.g., tender has been called, Applicant has made payment(s) to any supplier, vendor, or third party, Applicant has signed a contractual agreement with any supplier, vendor, or third party']",Eligibility of the project is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities in the form of a Joint Venture or a consortium.,,Content enhancements,"Professional services (including audit and survey), Hardware/equipment and software, Materials and consumables, Production, Marketing, Travel expenses associated with the project",Grantee will receive funding support for qualifying third-party project-related costs,"Grantee is required to submit an Agreed-Upon Procedures (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grants, unless otherwise stated.",['All'],"['Innovation', 'Digitalisation']",False
Experience Step-Up Fund,Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,Grant,"['Open to all legal entities, e.g.: Businesses, Associations, Government bodies', 'Projects should fall under one of the categories: Development of new products and experiences (including virtual experiences), Content enhancements, Adoption of technology to enhance visitor experiences, Amenities enhancements, Infrastructure enhancements', 'Projects must not have commenced at the point of grant application. Projects are considered to have commenced if any of the following took place before application date: Applicant has started work on the project, e.g., tender has been called, Applicant has made payment(s) to any supplier, vendor, or third party, Applicant has signed a contractual agreement with any supplier, vendor, or third party']",Eligibility of the project is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities in the form of a Joint Venture or a consortium.,,Adoption of technology to enhance visitor experiences,"Professional services (including audit and survey), Hardware/equipment and software, Materials and consumables, Production, Marketing, Travel expenses associated with the project",Grantee will receive funding support for qualifying third-party project-related costs,"Grantee is required to submit an Agreed-Upon Procedures (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grants, unless otherwise stated.",['All'],"['Innovation', 'Digitalisation']",False
Experience Step-Up Fund,Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,Grant,"['Open to all legal entities, e.g.: Businesses, Associations, Government bodies', 'Projects should fall under one of the categories: Development of new products and experiences (including virtual experiences), Content enhancements, Adoption of technology to enhance visitor experiences, Amenities enhancements, Infrastructure enhancements', 'Projects must not have commenced at the point of grant application. Projects are considered to have commenced if any of the following took place before application date: Applicant has started work on the project, e.g., tender has been called, Applicant has made payment(s) to any supplier, vendor, or third party, Applicant has signed a contractual agreement with any supplier, vendor, or third party']",Eligibility of the project is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities in the form of a Joint Venture or a consortium.,,Amenities enhancements,"Professional services (including audit and survey), Hardware/equipment and software, Materials and consumables, Production, Marketing, Travel expenses associated with the project",Grantee will receive funding support for qualifying third-party project-related costs,"Grantee is required to submit an Agreed-Upon Procedures (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grants, unless otherwise stated.",['All'],"['Innovation', 'Digitalisation']",False
Experience Step-Up Fund,Singapore Tourism Board,,https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,Grant,"['Open to all legal entities, e.g.: Businesses, Associations, Government bodies', 'Projects should fall under one of the categories: Development of new products and experiences (including virtual experiences), Content enhancements, Adoption of technology to enhance visitor experiences, Amenities enhancements, Infrastructure enhancements', 'Projects must not have commenced at the point of grant application. Projects are considered to have commenced if any of the following took place before application date: Applicant has started work on the project, e.g., tender has been called, Applicant has made payment(s) to any supplier, vendor, or third party, Applicant has signed a contractual agreement with any supplier, vendor, or third party']",Eligibility of the project is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities in the form of a Joint Venture or a consortium.,,Infrastructure enhancements,"Professional services (including audit and survey), Hardware/equipment and software, Materials and consumables, Production, Marketing, Travel expenses associated with the project",Grantee will receive funding support for qualifying third-party project-related costs,"Grantee is required to submit an Agreed-Upon Procedures (AUP) Report by Practitioner on qualifying costs and supporting documents to prove achievement of deliverables for the disbursement of grants, unless otherwise stated.",['All'],"['Innovation', 'Digitalisation']",False
Startup SG Tech - Proof-of-Concept (POC),Enterprise Singapore,,https://www.startupsg.gov.sg/programmes/4897/startup-sg-tech,Grant,,,Proof-of-Concept,Development of proprietary technology solutions,,,,['All'],['Innovation'],False
Startup SG Tech - Proof-of-Value (POV),Enterprise Singapore,,https://www.startupsg.gov.sg/programmes/4897/startup-sg-tech,Grant,,,Proof-of-Value,Commercialisation of innovative technologies,,,,['All'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Performance Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Engagement and Experience Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Material Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Sustainability,,"Up to S$1,000,000 per project",,['Others'],['Sustainability'],False
The Enterprise Innovation and Capability Development Grant (InnoGrant),Sport Singapore,,https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,Grant,[],,,Gamification and Active Virtual Sport Technology,,"Up to S$1,000,000 per project",,['Others'],['Innovation'],False
Tech-and-GO! Start Digital,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/start-digital/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies are eligible to apply for the scheme if they have completed Organisational Health Framework for Social Service assessment.']",Agencies must submit an assessment report that is within one year of its issuance date.,,Digital transformation,Pre-approved off-the-shelf packages or tailored solutions designed for the unique needs of social services.,"Social service agencies can be supported with co-funding at up to 80% for the first year and 50% for the subsequent two years, capped at $150k per agency, with solutions capped at $30,000 or specific Maximum Fundable Amount (MFA) for Green Lane.","OHFSS assessment report, Vendor proposal/quotation.",['All'],['Digitalisation'],False
Green Lane solutions,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/start-digital/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies are eligible to apply for the scheme if they have completed Organisational Health Framework for Social Service assessment.']",Agencies must submit an assessment report that is within one year of its issuance date.,,Sector specific IT solutions,"Accounting system, Booking system, Case allocation system, Case/client management solution, Church management system, Community map app, Competency management system, Data analytics solutions, Donor management solutions, Event management system, Human Resource Management System (HRMS), IRAS Donation API Integration Services, Learning management solutions, Motorised upper & lower limbs pedal exerciser, Online Board meeting solution, Online survey solutions, Portable interactive training device, Telepresence robot, Volunteer management solutions, Walking rehabilitation equipment.","Maximum fundable amount per unit varies from $6,000 to $40,000 depending on the solution.",Vendor proposal/quotation.,['All'],['Digitalisation'],False
Pre-scoped consultancy,National Council of Social Service,31 October 2024,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,Digitalisation,,"80% of costs per project, SSA contribution: Approx. $7,000 to $23,000.",Proof of consultancy deliverables and agency's concurrence of completion.,['All'],['Digitalisation'],False
"IT Audit, Cybersecurity and Data Protection consultancy (CSDP)",National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,IT and data security enhancement,,"80% of costs per project, Cost range: $50,000 to $100,000 per project.","Proof of attainment of mark, Consultant's report, Satisfactory assessment of the Final Evaluation Report, All invoices.",['All'],['Digitalisation'],False
Robotics Process Automation (RPA) consultancy,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,Productivity enhancement through automation,,"80%, capped at $6,000 per project, or $30,000 per SSA for multiple RPA projects.","Signed service agreement with the Consultant, Consultant's report, Satisfactory assessment of the Final Evaluation Report, All invoices.",['All'],['Digitalisation'],False
IT Professional Services,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,IT infrastructure and services enhancement,,"80% of costs per project, Cost range: $50,000 to $150,000 per project.","Consultant's report, Satisfactory assessment of the Final Evaluation Report, All invoices.",['All'],['Digitalisation'],False
Non pre-scoped consultancy,National Council of Social Service,,https://www.ncss.gov.sg/grants/organisation-development/tech-and-go/consultancy-subsidy/,Grant,"['Open to NCSS members and MSF-funded agencies.', 'Agencies must complete the Organisational Health Framework for Social Service Assessment.']","Applications with a total project cost of more than $37,500 will be required to submit a Digital Strategy Plan.",,Consultancy services for projects beyond pre-defined scope,,"80% of costs per project, Cost range: $50,000 to $150,000 per project.","Consultant's report, Satisfactory assessment of the Final Evaluation Report, All invoices.",['All'],['Digitalisation'],False
MCF-Manpower Development,Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,"['Maritime companies in the development of manpower, training initiatives and capabilities.']",Application forms must reach the MCF Secretariat at least 30 days prior to commencement of the training.,Training@MaritimeSingapore,Capability development,"External Training - Short Courses and Certifiable Courses, In-house Training",Training grant for approved training,,['Others'],['Human Capital'],False
MCF-Manpower Development,Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,['Companies to invest in the development of expertise through attachments and career development programmes.'],Application forms must reach the MCF Secretariat at least 30 days prior to commencement of the training.,Talent@MaritimeSingapore,Capability development,"Industry Attachment, Overseas Attachment, Management Associates",,,['Others'],['Human Capital'],False
MCF-Manpower Development,Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,"['Maritime enterprises and industry associations to adopt well-structured HR and training infrastructure, tools and processes.']",Application forms must reach the MCF Secretariat at least 30 days prior to commencement of the training.,InvestManpower@MaritimeSingapore,Capability development,"Industry/Strategic-level Development, Enterprise-specific Development",,,['Others'],['Human Capital'],False
MCF-Business Development,Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-(mcf),Grant,['Maritime companies and organisations in the setting up of new maritime-related businesses or expansion into new lines of maritime functions in Singapore.'],Application forms must reach the MCF Secretariat at least 30 days prior to commencement of the project.,,Internationalisation,Eligible expenses incurred in the setting up of new maritime operations or expansion into new lines of maritime businesses.,Co-funding grant scheme,,['Others'],['Internationalisation'],False
MINT-Research & Product Development (MINT-RPD),Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund,Grant,"['The applicant should be a company incorporated under the Companies Act (Cap 50) and operating in Singapore, with a minimum paid-up capital of 50% of the total project costs; or a classification society appointed as a Recognised Organisation under the Merchant Shipping (Authorised Organisations) Regulations.', 'The research and development of new or better maritime products and solutions must be carried out in Singapore.', 'Projects applying for the MINT Fund should be technology oriented, relevant to the maritime industry, develop products and solutions that have commercialisation potential, and satisfy the MINT-RPD criteria.']",Project (and cost incurred) should start after MPA approval,,"Applied R&D, product development and test-bedding of technology relevant to the maritime industry","Funding support for manpower and equipment either engaged or acquired for the purposes of the project, and other operating expenditure incurred for the purposes of the project.",,,['Others'],['Innovation'],False
MINT-Startup Grant (MINT-STARTUP),Maritime and Port Authority of Singapore,,https://www.mpa.gov.sg/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/mint-fund,Grant,"['Completed PIER71 Accelerate Programme / partner acceleration programmes', 'Company in operation for less than 10 years', 'Company’s group annual sales turnover not more than $100 mil OR Group employment size should not be more than 200 workers', 'Incorporated in Singapore', 'At least 30% of grant amount', 'Tech development activities funded by the grant should be carried out in Singapore']",,,Accelerate innovation and venture into adjacent/new growth areas through working with tech start-ups,,"Grant of up to S$100,000 to carry out POC, POV or pilot projects",,['Others'],['Innovation'],False
Aviation Development Fund,Civil Aviation Authority of Singapore,,https://www.caas.gov.sg/who-we-are/areas-of-responsibility/developing-the-industry/aviation-development-fund,Grant,[],,,Developing the Industry,,,,['All'],['Innovation'],False
Agri-food Cluster Transformation (ACT) Fund - Capability Upgrading,Singapore Food Agency,until 31 December 2025,https://www.sfa.gov.sg/recognition-programmes-grants/grants/agri-food-cluster-transformation-act-fund,Grant,"['Your farm must be a local farm with a valid licence from SFA.', 'You should have secured a farm site for the implementation of the proposed farming system to be funded.', 'Your farm should be free from unauthorised or illegal activities for at least 1 year before the date of application.', 'New farms that have not obtained their licences must have an in-principle approval from SFA to operate a farm at the premises stated in their farm licence application.']",Applications must be submitted through the Business Grants Portal using CorpPass for certain components.,Capability Upgrading,Capability development,"Farming equipment and systems for small-scale pilot trials, expenses for SG C&G and SG GAP Certification, energy efficiency audit costs.","Funding for farming equipment and systems, one-off sum of $15,000 for SG C&G and SG GAP Certification, up to $50,000 for energy efficiency audits.","Application Guidelines for Capability Upgrading, Capability Upgrading Project Outcome Template.","['Agritech', 'Food Manufacturing']","['Sustainability', 'Innovation']",False
Agri-food Cluster Transformation (ACT) Fund - Technology Upscaling,Singapore Food Agency,until 31 December 2025,https://www.sfa.gov.sg/recognition-programmes-grants/grants/agri-food-cluster-transformation-act-fund,Grant,"['Your farm must be a local farm with a valid licence from SFA.', 'You should have secured a farm site for the implementation of the proposed farming system to be funded.', 'Your farm should be free from unauthorised or illegal activities for at least 1 year before the date of application.', 'New farms that have not obtained their licences must have an in-principle approval from SFA to operate a farm at the premises stated in their farm licence application.']",Applications must be submitted through the Business Grants Portal using CorpPass for certain components.,Technology Upscaling,Technology enhancement,"Large commercial-scale, automated and advanced farming technology solutions, infrastructure and building costs for new farm sites or retrofitting indoor spaces.",Up to $6 million for farming technology or systems and farm-related infrastructure costs.,"Technology Upscaling component Proposal Template, Technology Upscaling component Project Outcome Template.","['Agritech', 'Food Manufacturing']","['Sustainability', 'Innovation']",False
5G Open Testbed,Infocomm Media Development Authority (IMDA),,https://www.imda.gov.sg/how-we-can-help/5g-open-testbed,Programme,['Companies keen to innovate at these 5G testbeds can also tap on IMDA’s 5G innovation programme.'],"Applicants are required to provide details such as company profile, the trial objective(s), the solution involved in the trial, and period of solution trial.",,5G innovation and experimentation,,A S$30M fund aimed to accelerate the adoption and commercialisation of 5G solutions.,,['All'],"['Innovation', 'Digitalisation']",False
